Subregion,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Eastern Africa,Burundi,,,,,,,,,4.2,4.4,4,3.9,5.4,5.4,5.7,4.5,6
Eastern Africa,Comoros,10.4,,,,,9.5,,,,,8.5,,,,,7.7,
Eastern Africa,Djibouti,8.9,,,,,8.1,,,,,7.4,,,,,6.5,
Eastern Africa,Eritrea,9.9,,,,,9.6,,,,,8.9,,,,,8,
Eastern Africa,Ethiopia,10.7,,,,,9.4,,,,,8.5,,,,,7.6,
Eastern Africa,Kenya,,,,,3.4,3,3,2.9,3.1,4.7,4.7,5.3,5.4,5.5,5,4.8,4.9
Eastern Africa,Madagascar,11.4,,,,,10,,,,,9.2,,,,,7.7,
Eastern Africa,Malawi,6.2,7.7,4.7,2.4,3.2,1.5,6.1,5,5.5,2.2,3.4,2.2,1.7,,,,
Eastern Africa,Mauritius,2.2,,,3.2,2.9,3,4.1,3.6,3.9,3.1,2.6,2.7,2.3,2.8,1.5,1.7,1.8
Eastern Africa,Mayotte,,,,,,,,14.2,2.5,5.9,,,,,,,
Eastern Africa,Mozambique,,5.9,5.4,5.3,5.6,5.2,4.1,3.8,4.4,3.5,3.6,3.4,,,,,
Eastern Africa,Réunion,,,,,2.9,3.2,2.4,3,2.2,1.8,,,,,,,
Eastern Africa,Rwanda,,,,,,,3.5,2.8,1.5,,2.8,,2.4,3.2,3.8,2.5,
Eastern Africa,Seychelles,,,,,11.4,,10,8.9,6.6,15.4,9.8,17.4,4.3,19.4,17.2,7.5,12.7
Eastern Africa,Somalia,5.4,,,,,5,,,,,5.3,,,,,4.3,
Eastern Africa,South Sudan,,,,,,,,,,,,,13.9,,,,
Eastern Africa,Uganda,,,,8,7.4,8.7,9.1,8.6,8.8,9.9,9.3,10.7,11.2,10.3,11.5,,
Eastern Africa,Tanzania,,,,7.5,7.6,,,,,,8.4,8.7,8.3,7.3,7.5,7,
Eastern Africa,Zambia,7.6,,,,,,,,5.3,6,5.9,6,6,5.7,5.3,5.3,
Eastern Africa,Zimbabwe,,12.4,13,10.8,10.6,10.4,8.2,,,,5,,6.7,,,,
Middle Africa,Angola,,,,,,,,,,,,4.4,4.8,,,,
Middle Africa,Cameroon,3,4.8,6.4,6.1,,,,,4.1,6.6,5,4.1,4.2,,,,
Middle Africa,Central Africa,,,,,,,,,,,,,,,,,19.8
Middle Africa,Chad,11.4,,,,,10.7,,,,,9.7,,,,,9,
Middle Africa,Congo,11.3,,,,,10.6,,,,,9.9,,,,,9.3,
Middle Africa,Congo,14.1,,,,,14.6,,,,,14.3,,,,,13.5,
Middle Africa,Equatorial Guinea,3.3,,,,,2.9,,,,,2.6,,,,,2.3,
Middle Africa,Gabon,10.8,,,,,11,,,,,8.7,,,,,8,
Middle Africa,Sao Tome and Principe,,,,,,,2.5,2.5,8.4,2.9,3.4,3.4,,,,,
Northern Africa,Algeria,,,,2,1.4,0.6,0.9,0.8,0.9,0.8,0.7,0.8,1.4,1.3,1.5,1.4,
Northern Africa,Egypt,,,,0.6,0.4,0.7,0.7,0.9,1.2,1.1,2.2,3.1,2.5,,,,
Northern Africa,Libya,3.7,,,,,3.7,,,,,3.1,,,,,2.5,
Northern Africa,Morocco,1.6,1.9,1.6,1.7,1.6,1.5,1.6,1.7,1.3,1.4,1.4,1.3,1.1,1.3,1,1.2,
Northern Africa,Sudan,,,,,,,,4.7,5.2,,,,,,,,
Northern Africa,Tunisia,,,,,1.9,2.6,2.4,2.7,2.7,2.4,2.7,,3,,,,
Southern Africa,Botswana,,12.1,14.3,17.3,14.2,15.7,13.9,14.6,14.4,14.6,15,,,,,,
Southern Africa,Lesotho,,,,,,,,45.1,37.6,35.8,37.4,34.5,30.7,31.1,,41.2,
Southern Africa,Namibia,20,18.3,17.6,,17.5,,,,16.8,18.2,14.4,13.9,17.1,,,,
Southern Africa,South Africa,47.6,46.1,45.8,41.6,39,38,38.7,36.9,35.9,32.9,30.8,29.8,30.6,31.7,32.6,33.8,34
Southern Africa,Swaziland,,18.8,13,13.2,13.3,13.7,10.8,14.9,18.7,15.8,17.3,,,,,,
Western Africa,Benin,7.3,,,,,7.2,,,,,6.6,,,,,6.2,
Western Africa,Burkina Faso,,,0.6,0.6,0.6,0.5,0.5,0.7,0.7,0.5,0.6,0.5,0.5,0.7,0.8,0.4,
Western Africa,Cabo Verde,,,,3.3,4.5,9.3,7.3,6,6.9,7.6,7.8,10.4,10.9,10.4,12.3,8.6,11.5
Western Africa,Côte d'Ivoire,16.1,,,,,14.7,,,,,12.6,,,,,11.6,
Western Africa,Gambia,12.4,,,,,9.8,,,,,9.8,,,,,9.1,
Western Africa,Ghana,,2.2,2,2.1,2.2,1.8,1.9,1.8,1.8,1.8,1.7,1.7,,,,,
Western Africa,Guinea,10.9,,,,,10.1,,,,,9.4,,,,,8.8,
Western Africa,Guinea-Bissau,13,,,,,11.7,,,,,10.5,,,,,9.5,
Western Africa,Liberia,,,,,,,,2.8,4.8,3.8,3.3,4,3.2,,,,
Western Africa,Mali,12.9,,,,,12.7,,,,,12.2,,,,,10.9,
Western Africa,Mauritania,13.7,,,,,12.4,,,,,10.9,,,,,9.9,
Western Africa,Niger,,,,,,,,,,,,4.9,4.4,,,,
Western Africa,Nigeria,12.8,,,,,11.8,,,,,10.7,,,,,9.8,
Western Africa,Saint Helena, -   , -   , -   , -   ,22.7, -   , -   , -   , -   , -   ,,,,,,,
Western Africa,Senegal,10,,,,,9.3,,,,,8.5,,,,,7.4,
Western Africa,Sierra Leone,,,,,2.1,1.7,1.7,2.2,3,2.5,2.5,2.8,1.7,,,1.7,
Western Africa,Togo,10.5,,,,,10.7,,,,,9.6,,,,,9,
Caribbean,Anguilla,9, -   ,17.1,16.6,8.1, -   ,38.8,30.4,7.5,7.4, -   , -   ,35.4,7,27.7,,
Caribbean,Antigua and Barbuda,6,8.2,5.8,5.7,4.5,3.4,12.2,18.6,17.3,17.1,6.3,,10.3,,,,
Caribbean,Aruba,,4.3,5.3,4.1,2,6,5,3,4.9,3.9,3.9,2,3.9,5.8,1.9,,
Caribbean,Bahamas,24.8,14.2,16.8,15.8,13.6,15.8,18.2,22.8,20.9,24.5,26.1,34.6,29.8,31.5,32.2,37.7,28.4
Caribbean,Barbados,7.4,9.2,9.2,12.1,8.1,10.6,12.7,9.1,8.3,6.8,11.1,9.6,7.8,8.5,8.8,10.9,
Caribbean,UK  Virgin Islands,,4.7,4.6,9.1,17.7,,8.4,,,,,,,,,,
Caribbean,Cayman Islands,9.6,4.6, -   ,6.5,10.6,6.2,2,3.9,7.6,14.7,16.2,,,8.6,8.4,,
Caribbean,Cuba,5.3,5.4,5.9,5.7,5.9,6.1,5.1,5,4.6,5,4.5,4.7,5.5,5.9,5.2,5.4,5
Caribbean,Curaçao,,7.7,30.3,33.6,32,20.1,13.6,19.2,,,,,,,,,
Caribbean,Dominica,2.9,1.4,12.9,11.4,11.4,11.3,7.1,9.9,9.8,18.3,21,8.4,,,,,
Caribbean,Dominican Republic,14.1,12.6,14.5,21.2,24.6,25.9,22.9,22.2,24.8,24.3,25,25.1,22.3,19.2,17.4,,15.2
Caribbean,Grenada,14.8,5.9,13.7,8.8,5.8,10.7,11.6,10.6,15.4,6.7,9.6,3.8,13.3,5.7,7.5,5.6,10.2
Caribbean,Guadeloupe,,,,,6,5.2,5.4,6.5,7.2,8,,,,,,,
Caribbean,Haiti,,,,,,,,5.1,5.1,6.1,6.8,9,10,,,,
Caribbean,Jamaica,33.4,42.5,38.8,35.9,53.9,61,48.5,57.1,58,60,51.4,40,38.7,42.1,35.1,42.1,47
Caribbean,Martinique,,,,,4.8,4.8,5.8,5.8,4.3,2.8,,,,,,,
Caribbean,Montserrat, -   , -   , -   , -   , -   ,20.9,20.6,,20.4,,,,19.9,,,,
Caribbean,Puerto Rico,18.3,19.7,20.6,20.8,21.1,20.5,19.9,19.5,21.8,24.2,27.4,31.4,27.2,24.5,19,16.8,18.5
Caribbean,Saint Kitts and Nevis,6.6,13,10.7,21.1,22.9,16.5,34.5,32.1,45.7,53.1,40.8,65.4,34.2,,,,
Caribbean,Saint Lucia,14.7,21.5,26.3,22.4,22.8,25,26,17.3,23,22.8,25.5,26.5,22.3,18.8,19.3,,
Caribbean,Saint Vincent and the Grenadines,18.5,11.1,18.5,16.6,26.7,23.9,18.4,36.7,14.7,21.1,22.9,19.2,25.6,,,,36.5
Caribbean,Trinidad and Tobago,9.5,11.9,13.4,17.8,20.1,29.8,28.5,29.9,41.6,38.4,35.6,26.4,28.3,30.3,29.9,30.9,
Caribbean,Turks and Caicos Islands, -   , -   ,9.2, -   ,, -   ,,7,6.8,6.6,,,,12.1,5.9,,
Caribbean,US Virgin Islands,21.2,25.8,37.8,28.6,34.2,34.3,40,40.1,43.1,47,52.8,42.5,49.3,,,,
Central America,Belize,16.6,25.1,33.2,24.9,28.6,28.6,31.6,32.5,33.6,30.9,40.1,37.7,43.1,28.8,35,33.1,37.6
Central America,Costa Rica,6.3,6.4,6.3,7.3,6.7,7.9,8.1,8.4,11.6,11.7,11.6,10.3,8.7,8.7,10,11.6,11.9
Central America,El Salvador,60.5,60.8,47.7,56.2,64.9,64.4,64.8,57.5,52,71.4,64.7,70.6,41.7,40.2,62.4,105.4,82.8
Central America,Guatemala,24.9,27.1,29.7,33.9,35.2,40.8,43.9,42.2,44.9,45.4,40.7,38,33.8,33.7,31.4,29.4,27.3
Central America,Honduras,48.7,52.1,52.8,57.9,50.5,43.6,41.3,46.5,56.6,65.7,76.1,85.1,84.3,74.3,66.9,57.5,56.5
Central America,Mexico,10.6,10,9.7,9.5,8.7,9.1,9.5,7.9,12.3,17.1,22,22.9,21.5,18.8,16.1,16.5,19.3
Central America,Nicaragua,9.5,10.5,10.7,12.1,12.2,13.6,13.2,12.9,13.2,14.2,13.7,12.7,11.5,10,8.7,8.6,7.4
Central America,Panama,9.9,9.9,11.9,10.5,9.4,10.9,6.5,8.1,14,15.7,12.6,14.8,16.9,17.3,14.5,11.3,9.7
Northern America,Bermuda, -   ,4.7,1.5,3.1,1.5,3.1,4.6,4.6,7.7,9.3,10.9,12.6,9.5,8,6.4,6.5,13
Northern America,Canada,1.8,1.8,1.9,1.7,2,2.1,1.9,1.8,1.8,1.8,1.6,1.8,1.6,1.4,1.5,1.7,1.7
Northern America,Greenland,23.1,30.2,21.2,8.8,19.3,17.6,14,14.1,14.1,17.6,19.4,1.8,14.2,12.4,7.1,7.1,5.3
Northern America,Saint Pierre and Miquelon,,,,,,, -   , -   ,16,15.9,,,,,,,
Northern America,USA,5.5,6.7,5.6,5.7,5.5,5.7,5.8,5.7,5.4,5,4.8,4.7,4.7,4.5,4.5,5,5.4
South America,Argentina,,,,,,,,,,,,,,,7.5,6.5,5.9
South America,Bolivia,,,,,,5.2,5.2,8.2,8.6,8.4,12.8,12.3,11.9,9,8.9,6.3,6.3
South America,Brazil,23.7,24.7,25.3,25.7,24,23.3,23.9,23.4,23.8,22.8,22,24.2,26.5,26.8,28,28.4,29.5
South America,Chile,,,,3.2,,3.6,3.6,3.7,3.5,3.7,3.2,3.7,2.5,3.2,3.6,3,3.5
South America,Colombia,65.7,67.9,68.3,55.8,47.3,41.8,39.9,38.8,35.9,34.8,33.7,34.8,35.1,32.6,27.9,26.5,25.5
South America,Ecuador,14.5,12.9,14.6,14.6,17.7,15.4,17.1,16,18,17.9,17.6,15.4,12.5,11,8.2,6.5,5.9
South America,French Guiana,,,,,29.6,22.1,19.9,12.9,14.4,13.2,,,,,,,
South America,Guyana,10.1,10.6,19,27.8,17.4,18.9,20.4,15.4,21.2,15.7,18.8,17.4,18.5,20.4,19.5,19.4,18.4
South America,Paraguay,18.8,24.3,24.9,22.9,21.2,15.3,12.6,13.1,13.8,13.4,11.9,10.4,10.2,9.3,8.8,9.3,
South America,Peru,,,,,,,,,,,,5.4,6.5,6.6,6.7,7.2,7.7
South America,Suriname,14.4,16.5,11.8,12.3,9.3,13.8,12.3,8.8,8.3,,,,,,,,
South America,Uruguay,6.4,6.6,6.9,5.9,6,5.7,6.1,5.8,6.6,6.7,6.1,5.9,7.9,7.6,7.8,8.5,7.7
South America,Venezuela,32.8,31.9,37.8,43.8,36.9,37.2,45,47.5,51.8,48.9,45.1,47.8,53.8,,61.9,,56.3
Central Asia,Kazakhstan,15.4,14.4,13,13.1,13.6,,,,11.3,10.9,8.5,8.5,7.5,6.5,5.2,4.8,
Central Asia,Kyrgyzstan,8.7,7.8,8.2,8.4,8.3,8.3,8.2,8.2,8.2,7.8,19.8,9,5.4,3.6,3.7,5.2,4.5
Central Asia,Tajikistan,4.6,3.7,2.8,2.5,2.1,2.3,2.8,1.8,1.4,1.3,2.4,1.6,,,,,
Central Asia,Turkmenistan,5.9,5.4,5.2,5,4.4,4.3,4.2,,,,,,,,,,
Central Asia,Uzbekistan,4.3,4.3,4.1,3.7,3.7,3.4,3.2,3,3,,,,,,,,
Eastern Asia,China,2.1,2,2,1.9,1.9,1.6,1.4,1.2,1.1,1.1,1,0.9,0.8,0.8,0.7,0.7,0.6
Eastern Asia,North Korea,6.6,,,,,5,,,,,4.8,,,,,4.4,
Eastern Asia,Japan,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3
Eastern Asia,Mongolia,,,,13.9,13.3,15.8,13.1,11.3,8.1,8.2,8.8,9.6,7.1,7.1,7.3,6.2,5.7
Eastern Asia,Republic of Korea,,,,,,,,,,,,0.9,0.8,0.7,0.7,0.7,0.7
South-Eastern Asia,Brunei Darussalam,1.2,,,0.8,0.6,0.5,0.8,0.8,0.3,0.8,0.3,0.3,1,0.5,,,
South-Eastern Asia,Cambodia,4.7,3.3,3.4,4,3.9,3.4,3,2.9,2.4,2.3,2.3,1.8,,,,,
South-Eastern Asia,Indonesia,1,,,0.7,0.6,,,,0.6,0.5,0.4,0.6,0.6,0.5,0.5,0.6,0.5
South-Eastern Asia,Laos,10.7,,,,,9.6,,,,,8,,,,,7,
South-Eastern Asia,Malaysia,2.4,2.2,2.3,2.3,2,2.4,2.2,2.4,2.2,2,1.9,1.9,2.1,2.1,,,
South-Eastern Asia,Myanmar,2.3,2,1.7,1.6,1.5,1.4,1.6,1.5,1.6,1.8,1.6,2.1,2.8,2.4,2.4,2.2,2.3
South-Eastern Asia,Philippines,7.4,7.3,8.1,7.8,7.5,7.5,7.1,6.7,6.4,9.9,9.5,9.1,8.8,9.3,9.7,9.5,11
South-Eastern Asia,Singapore,0.9,0.7,0.5,0.6,0.5,0.5,0.4,0.4,0.6,0.4,0.4,0.3,0.2,0.3,0.3,0.3,0.3
South-Eastern Asia,Thailand,8.2,7.9,7.1,10,6.6,7.3,7.1,6.7,6,5.5,5.4,4.9,4.9,4.2,3.9,3.5,3.2
South-Eastern Asia,Timor-Leste,,,,,2.3,4.5,4.7,5.8,3.2,2.9,3.5,,,,,3.9,
South-Eastern Asia,Viet Nam,,1.2,1.3,1.3,1.3,1.2,1.2,1.4,1.3,1.4,1.5,1.5,,,,,
Southern Asia,Afghanistan,,,,,,,,,,4,3.4,4.1,6.3,,,,
Southern Asia,Bangladesh,2.5,2.7,2.6,2.5,2.8,2.5,2.9,2.6,2.8,2.8,2.6,2.6,2.6,2.8,2.8,2.5,
Southern Asia,Bhutan,3.1,3.2,3.1,0.8,2.3,1.7,1.3,2,2.6,2.2,2.2,4.3,4.4,3.1,,1.5,1.1
Southern Asia,India,4.9,4.6,4.5,4,4.1,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.6,3.7,3.4,3.2
Southern Asia,Iran,,,,2.6,2.9,,,,,3,,,,2.6,2.5,,
Southern Asia,Maldives,,2.4,2.7,1.3,,,,0.9,1.4,1.7,1.6,0.8,2.6,0.8,,,
Southern Asia,Nepal,2.7,3.5,3.5,3,3.7,3.4,2.4,3.2,3.4,3,3,2.5,2.3,2.2,2,,2.2
Southern Asia,Pakistan,6.4,6.8,6.5,6.3,6.4,6.4,6.4,6.6,7.4,7.5,7.7,8,7.8,7.7,7.2,5,4.4
Southern Asia,Sri Lanka,,,,6.8,7.1,6.2,10.4,,10,5.5,3.8,3.6,3.3,3,2.7,2.4,2.5
Western Asia,Armenia,3,2.9,2.3,2.5,2.8,1.9,2.7,2.6,3.3,3.4,1.9,2.5,2.3,2.2,2.5,2.6,3
Western Asia,Azerbaijan,2.8,2.7,2.6,2.2,2.4,2.2,2.2,2.2,2.2,,2.3,,2.2,2.4,2.5,,2.1
Western Asia,Bahrain,,1.3,1.1,0.4,0.8,0.4,0.7,0.4,0.5,1.1,0.9,0.5,0.3,0.4,0.5,,
Western Asia,Cyprus,0.8,0.7,0.2,1.4,1.6,1.9,1.4,1.2,0.8,1.7,0.7,0.8,1.9,1,1,1.3,1.1
Western Asia,Georgia,5.1,5.6,6.3,6.6,6.6,9,7.3,7.5,6.1,4.9,4.4,,,,2.7,,1
Western Asia,Iraq,,,,,,,,,15.8,8.5,8.7,8.3,8.2,9.9,,,
Western Asia,Israel,2.4,3.6,3.6,3.1,2.7,2.5,2.7,1.8,1.9,1.8,2,2,1.7,,1.5,1.4,
Western Asia,Jordan,,,,,,1.2,1.7,1.8,1.8,1.5,1.6,1.9,2,1.7,2,1.7,1.5
Western Asia,Kuwait,,1.8,1.1,1.3,1.9,1.8,1.9,2.4,1.4,1.7,2,1.8,1.8,,,,
Western Asia,Lebanon,,,,,,,,,4.5,3.5,3.8,3.7,3.9,4.5,4.3,3.9,4
Western Asia,Oman,,,1.2,1.5,1.7,2.1,4.7,1.4,1.7,1.3,1.6,1.1,1.1,2.6,0.7,,
Western Asia,Qatar,0.2,0.8,,,0.7,0.7,0.5,0.8,0.9,0.5,0.2,0.2,0.3,0.4,0.4,,
Western Asia,Saudi Arabia,0.8,1.1,1.3,1.1,1.3,1.2,1,1,,,,,,,,1.5,
Western Asia,Palestine,,,,2.7,2.7,2.4,,,1.2,1.1,0.8,0.6,0.6,0.5,0.8,1,0.7
Western Asia,Syria,2.2,2.2,2.2,2.3,2.4,2.4,2.4,2.7,2.6,2.3,2.2,,,,,,
Western Asia,Turkey,,,,4.3,4.3,4.9,4.6,5.2,4.6,5.2,4.2,4.2,4.3,,,,
Western Asia,United Arab Emirates,,,,1.2,0.7,1.2,0.7,,,,0.8,0.6,0.8,0.6,0.7,0.7,0.9
Western Asia,Yemen,3.9,,,3.6,3.2,4.6,4.2,3.9,3.9,4.3,4.7,5.7,6.5,6.7,,,
Eastern Europe,Belarus,10.2,9.8,10.1,9,8.4,8.6,7.7,6.8,5.7,5.1,4.2,3.9,3.6,3.5,3.6,,
Eastern Europe,Bulgaria,4.2,3.9,3.2,3.2,3.2,2.6,2.4,2.3,2.3,2,2,1.7,1.9,1.5,1.6,1.8,1.1
Eastern Europe,Czechia,1.8,1.4,1.5,1.6,1.3,1.1,1.3,1.2,1.1,0.9,1,0.8,1,0.8,0.8,0.8,0.6
Eastern Europe,Hungary,2,2.5,2,2.2,2.1,1.6,1.7,1.5,1.8,1.4,1.4,1.5,1.3,1.6,1.5,2.3,2.1
Eastern Europe,Poland#,2.2,2,1.9,1.7,1.6,1.4,1.3,1.4,1.2,1.3,1.1,1.2,1,0.8,0.7,0.8,0.7
Eastern Europe,Moldova,10.3,9.8,9.6,7.6,6.6,7.1,6.3,5.3,5.7,6,6.5,7.5,5.6,4.2,3.2,,
Eastern Europe,Romania#,2.6,2.7,2.6,2.5,2.4,2.1,2.1,2,2.3,1.9,2,1.7,1.9,1.7,1.5,1.5,1.2
Eastern Europe,Russia,28.1,29.4,30.5,28.9,27.3,24.8,20.1,17.7,16.6,14.9,,,,11,11.3,11.5,10.8
Eastern Europe,Slovakia,2.4,2.2,2.2,2.5,2,1.7,1.5,1.5,1.6,1.4,1.5,1.6,1.2,1.3,1.3,0.8,1
Eastern Europe,Ukraine,9,10,9,8.5,7.4,6.5,6.3,5.7,5.3,4.9,4.3,,5.2,,6.3,,
Northern Europe,Channel Islands,,,,,,0.6,1.3,,0.6,, -   ,,,,,,
Northern Europe,Denmark,1.1,1,1,1.2,0.8,1,0.5,0.7,1,0.9,0.8,0.8,0.8,0.9,1.3,1,1
Northern Europe,Estonia,10.2,9.8,10.3,10.7,6.7,8.3,6.7,7.1,6.4,5.2,5.3,4.9,4.8,3.9,3.1,3.2,
Northern Europe,Finland,2.9,3,2.5,2,2.8,2.3,2.3,2.4,2.5,2.2,2.2,2,1.6,1.6,1.6,1.5,1.4
Northern Europe,Iceland,1.8,0.4,1.4, -   ,1,1, -   ,0.7, -   ,0.3,0.6,0.9,0.3,0.3,0.6,0.9,0.3
Northern Europe,Ireland,1,1.3,1.3,0.9,0.7,1.2,1.4,1.8,1.1,1.2,1.1,0.9,1.1,1.1,1.1,0.6,0.8
Northern Europe,Isle of Man,,,,,,,,,,,,1.2,2.5,2.4,3.6,1.2, -   
Northern Europe,Latvia,10,9.3,9.2,8.8,7.9,5.6,5.8,4.3,4.6,5,3.3,3.3,3.4,2.5,3.2,3.4,
Northern Europe,Lithuania,10.6,10.2,8.5,10.1,10.1,11.1,8.7,8.5,9.3,8,7,6.9,6.7,6.6,5.4,5.9,5.2
Northern Europe,Norway,1.1,0.8,1,1.1,0.8,0.7,0.7,0.6,0.7,0.6,0.6,2.2,0.5,0.9,0.6,0.5,0.5
Northern Europe,Sweden,1.1,1,1.1,0.9,1.2,0.9,1,1.2,0.9,1,1,0.9,0.7,0.9,0.9,1.1,1.1
Northern Europe,UK,1.6,1.6,1.9,1.6,1.6,1.4,1.4,1.4,1.2,1.1,1.2,1,1,0.9,0.9,1,1.2
Southern Europe,Albania,4.2,7,6.9,5.3,4.2,5,3.1,3.5,3.1,2.9,4.3,4.9,5.4,4.2,4,2.3,2.7
Southern Europe,Andorra,,,,,1.3,,, -   ,1.2, -   , -   ,1.2, -   , -   , -   , -   ,
Southern Europe,Bosnia and Herzegovina,2.6,2.2,2.4,,1.8,1.9,1.9,1.7,1.8,1.9,1.5,1.4,1.7,1.3,1.4,1.6,1.3
Southern Europe,Croatia,2.3,1.8,1.7,1.6,1.9,1.6,1.7,1.4,1.6,1.1,1.4,1.1,1.2,1.1,0.8,0.9,1
Southern Europe,Gibraltar,,,,,,,,,, -   ,3,,,,,,
Southern Europe,Greece,,1.2,0.8,1.1,1,1.2,1,1.1,1.3,1.3,1.5,1.6,1.5,1.4,0.9,0.8,0.8
Southern Europe,Holy See,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   ,
Southern Europe,Italy,1.3,1.2,1.1,1.2,1.2,1,1.1,1.1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7
Southern Europe,Kosovo,,,,,,,,,6.5,4.1,6,3.5,5,2.2,2.3,1.7,1.6
Southern Europe,Malta,1,1.5,1.5, -   ,1.7,1, -   ,1,1.5,1,1,0.7,2.9,1.7,1.4,0.9,
Southern Europe,Montenegro,,,4.4,3.3,2.3,3.6,4,1.9,3.9,3.4,2.4,3.4,2.7,1.6,3.2,2.7,4.5
Southern Europe,Portugal,1.1,1,1.1,1.4,1.4,1.3,1.5,1.7,1.2,1.2,1.2,1.1,1.2,1.4,0.9,1,0.6
Southern Europe,San Marino, -   , -   ,3.6, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Southern Europe,Serbia,2.4,2.6,2.1,1.9,1.8,1.6,1.7,1.9,1.5,1.7,1.4,1.5,1.2,1.6,1.4,1.2,1.4
Southern Europe,Slovenia,1.8,1.4,1.8,1.1,1.4,1,0.6,1.2,0.5,0.6,0.7,0.8,0.7,0.6,0.8,1,0.5
Southern Europe,Spain,1.4,1.4,1.3,1.4,1.2,1.2,1.1,1.1,0.9,0.9,0.9,0.8,0.8,0.6,0.7,0.7,0.6
Southern Europe,Macedonia,2.3,2.7,2.9,3.4,2.4,2.1,2.2,2,1.7,1.7,2.1,1.4,1.4,1.1,1.6,,
Western Europe,Austria,1,0.9,0.8,0.6,0.7,0.7,0.7,0.5,0.7,0.6,0.7,0.9,0.9,0.7,0.5,0.5,0.7
Western Europe,Belgium,2.1,2.7,3.1,2.2,2.6,2.1,2.1,2,1.9,1.7,1.7,1.9,1.8,1.8,1.9,1.9,
Western Europe,France,1.8,1.7,1.9,1.6,1.6,1.6,1.4,1.6,1.6,1.3,1.3,1.4,1.2,1.2,1.2,1.6,1.4
Western Europe,Germany,1.2,1.1,1.2,1.1,1.1,1.1,1,0.9,0.9,1,1,0.9,0.8,0.8,0.9,0.8,1.2
Western Europe,Liechtenstein, -   , -   , -   , -   ,2.9, -   , -   , -   ,2.8, -   ,2.8, -   , -   , -   ,2.7, -   , -   
Western Europe,Luxembourg,0.9,2,1.4,0.7,0.4,0.9,1.5,1.5,1.6,1,2,0.8, -   ,0.2,0.7,,
Western Europe,Monaco,,3.1,,,3,3,2.9, -   , -   , -   , -   , -   , -   , -   ,, -   ,
Western Europe,Netherlands,1.1,1.3,1.2,1.2,1.2,1.1,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.6,0.6
Western Europe,Switzerland,1,1.2,1.2,1,1.1,1,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.5,0.7,0.5
Australia and New Zealand,Australia,1.9,1.8,1.9,1.7,1.5,1.3,1.4,1.2,1.2,1.2,1,1.1,1.1,1.1,1,1,0.9
Australia and New Zealand,New Zealand,1.3,1.3,1.5,1.1,1.1,1.5,1.2,1.1,1.2,1.5,1,0.9,0.9,1,1,,
Melanesia,Fiji,,,,3.1,2.8,2.8,2.7,2.5,2,3.4,2.3,2.3,2.3,2.2,2.3,,
Melanesia,New Caledonia,,,,,,,3.4,5,4.5,3.2,,,,,,,
Melanesia,Papua New Guinea,8.3,,,,,,9.4,7.8,,,,,,,,,
Melanesia,Solomon Islands,,,,,4.4,5.5,4.8,5.3,3.8,,,,,,,,
Melanesia,Vanuatu,2.9,,,,,2.5,,,,,2.3,,,,,2.1,
Micronesia,Guam,1.3,5.1,1.3,5.1,5.7,4.4,6.9,0.6,0.6,3.1,1.9,2.5,,,,,
Micronesia,Kiribati,3.6,4.7,,,,,,,7.1,1,3.9,10.5,7.5,,,,
Micronesia,Micronesia,4,,,,,4.6,,,,,4.5,,,,,4.7,
Micronesia,Nauru,,,,,,,,,,,,, -   ,,,,
Micronesia,Palau,,,,,,,,,,,,,3.1,,,,
Polynesia,American Samoa,,1.7,11.9,5.1,6.7,10.1,6.8,1.7,5.3,3.6,9,9,3.6,5.4,5.4,7.2,5.4
Polynesia,Cook Islands,,,,,,,,,,,,,3.5,,,,
Polynesia,French Polynesia,,,,,,,1.2,2.7,3.4,0.4,,,,,,,
Polynesia,Niue,,,,,,,,,,,,, -   ,,,,
Polynesia,Samoa,,,,,,,,,,8.7,8.6,,,3.1,,,
Polynesia,Tonga,1,6.1,6,6,2,4,7.9,1,3.9,7.7,1,1.9,1,,,,
Polynesia,Tuvalu,,, -   , -   , -   , -   , -   , -   , -   , -   ,9.5,9.4,18.6,,,,
