Continent,Subregion,Country,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Africa,Eastern Africa,Burundi,BDI,,,,,,,,,341,376,347,349,500,520,564,461,635
Africa,Eastern Africa,Comoros,COM,56,,,,,58,,,,,59,,,,,60,
Africa,Eastern Africa,Djibouti,DJI,64,,,,,63,,,,,63,,,,,60,
Africa,Eastern Africa,Eritrea,ERI,335,,,,,382,,,,,389,,,,,390,
Africa,Eastern Africa,Ethiopia,ETH,"7,113",,,,,"7,214",,,,,"7,419",,,,,"7,552",
Africa,Eastern Africa,Kenya,KEN,,,,,"1,200","1,084","1,106","1,102","1,215","1,907","1,926","2,271","2,374","2,450","2,305","2,261","2,363"
Africa,Eastern Africa,Madagascar,MDG,"1,793",,,,,"1,842",,,,,"1,941",,,,,"1,863",
Africa,Eastern Africa,Malawi,MWI,700,900,567,300,411,200,821,690,780,320,520,343,279,,,,
Africa,Eastern Africa,Mauritius,MUS,26,,,39,35,37,50,45,48,38,33,34,29,35,19,21,23
Africa,Eastern Africa,Mayotte,,,,,,,,,27,5,12,,,,,,,
Africa,Eastern Africa,Mozambique,MOZ,,"1,100","1,040","1,044","1,130","1,089",894,849,995,823,875,849,,,,,
Africa,Eastern Africa,Réunion,,,,,,23,25,19,24,18,15,,,,,,,
Africa,Eastern Africa,Rwanda,RWA,,,,,,,319,268,144,,291,,256,359,428,293,
Africa,Eastern Africa,Seychelles,SYC,,,,,10,,9,8,6,14,9,16,4,18,16,7,12
Africa,Eastern Africa,Somalia,SOM,490,,,,,517,,,,,636,,,,,599,
Africa,Eastern Africa,South Sudan,SSD,,,,,,,,,,,,,"1,504",,,,
Africa,Eastern Africa,Uganda,UGA,,,,"2,136","2,049","2,492","2,696","2,645","2,793","3,233","3,160","3,753","4,066","3,857","4,473",,
Africa,Eastern Africa,Tanzania,TZA,,,,"2,778","2,926",,,,,,"3,888","4,149","4,092","3,697","3,902","3,746",
Africa,Eastern Africa,Zambia,ZMB,797,,,,,,,,694,812,814,863,885,867,825,853,
Africa,Eastern Africa,Zimbabwe,ZWE,,"1,529","1,623","1,360","1,356","1,350","1,072",,,,711,,981,,,,
Africa,Middle Africa,Angola,AGO,,,,,,,,,,,"1,055","1,055","1,217",,,,
Africa,Middle Africa,Cameroon,CMR,459,755,"1,031","1,002",,,,,776,"1,277",999,835,880,,,,
Africa,Middle Africa,Central Africa,CAF,,,,,,,,,,,913,,,,,,913
Africa,Middle Africa,Chad,TCD,949,,,,,"1,079",,,,,"1,151",,,,,"1,266",
Africa,Middle Africa,Congo,COD,366,,,,,396,,,,,433,,,,,466,
Africa,Middle Africa,Congo,COG,"6,617",,,,,"8,021",,,,,"9,213",,,,,"10,322",
Africa,Middle Africa,Equatorial Guinea,GNQ,20,,,,,22,,,,,25,,,,,27,
Africa,Middle Africa,Gabon,GAB,134,,,,,154,,,,,143,,,,,155,
Africa,Middle Africa,Sao Tome and Principe,STP,,,,,,,4,4,14,5,6,6,,,,,
Africa,Northern Africa,Algeria,DZA,,,,650,449,204,312,271,328,277,254,280,523,480,577,542,
Africa,Northern Africa,Egypt,EGY,,,,471,322,522,549,680,967,912,"1,839","2,703","2,207",,,,
Africa,Northern Africa,Libya,LBY,198,,,,,212,,,,,192,,,,,156,
Africa,Northern Africa,Morocco,MAR,461,543,462,510,470,469,498,517,426,432,451,441,383,429,355,431,
Africa,Northern Africa,Sudan,SDN,,,,,,,,"1,511","1,702","1,702",,,,,,,
Africa,Northern Africa,Tunisia,TUN,,,,,195,260,249,273,280,255,286,,332,,,,
Africa,Southern Africa,Botswana,BWA,,213,255,312,259,291,261,280,281,289,303,,,,,,
Africa,Southern Africa,Lesotho,LSO,,,,,,,,895,752,723,764,712,641,658,,897,
Africa,Southern Africa,Namibia,NAM,380,353,346,,352,,,,354,388,314,308,388,,,,
Africa,Southern Africa,South Africa,ZAF,"21,758","21,405","21,553","19,824","18,793","18,528","19,106","18,400","18,084","16,767","15,893","15,554","16,213","17,023","17,805","18,673","19,016"
Africa,Southern Africa,Swaziland,SWZ,,202,140,144,146,152,121,170,217,187,208,,,,,,
Africa,Western Africa,Benin,BEN,502,,,,,574,,,,,604,,,,,654,
Africa,Western Africa,Burkina Faso,BFA,,,78,81,78,63,69,94,108,77,93,82,84,122,138,67,
Africa,Western Africa,Cabo Verde,CPV,,,,15,21,44,35,29,34,38,39,53,56,54,65,46,62
Africa,Western Africa,Côte d'Ivoire,CIV,"2,681",,,,,"2,696",,,,,"2,576",,,,,"2,688",
Africa,Western Africa,Gambia,GMB,153,,,,,142,,,,,166,,,,,181,
Africa,Western Africa,Ghana,GHA,,433,401,436,452,393,412,399,430,427,422,423,,,,,
Africa,Western Africa,Guinea,GNB,956,,,,,973,,,,,"1,019",,,,,"1,067",
Africa,Western Africa,Guinea-Bissau,GIN,162,,,,,161,,,,,163,,,,,169,
Africa,Western Africa,Liberia,LBR,,,,,,,,100,177,145,129,161,135,,,,
Africa,Western Africa,Mali,MLI,"1,413",,,,,"1,623",,,,,"1,836",,,,,"1,905",
Africa,Western Africa,Mauritania,MRT,371,,,,,388,,,,,392,,,,,416,
Africa,Western Africa,Niger,NER,,,,,,,,,,,831,831,788,,,,
Africa,Western Africa,Nigeria,NGA,"15,605",,,,,"16,423",,,,,"16,996",,,,,"17,843",
Africa,Western Africa,Saint Helena,, -   , -   , -   , -   ,1, -   , -   , -   , -   , -   ,,,,,,,
Africa,Western Africa,Senegal,SEN,984,,,,,"1,047",,,,,"1,099",,,,,"1,105",
Africa,Western Africa,Sierra Leone,SLE,,,,,112,99,101,134,184,158,163,187,113,,,124,
Africa,Western Africa,Togo,TGO,522,,,,,606,,,,,625,,,,,668,
Americas,Caribbean,Anguilla,AIA,1, -   ,2,2,1, -   ,5,4,1,1, -   , -   ,5,1,4,,
Americas,Caribbean,Antigua and Barbuda,ATG,5,7,5,5,4,3,11,17,16,16,6,,10,,,,
Americas,Caribbean,Aruba,ABW,,4,5,4,2,6,5,3,5,4,4,2,4,6,2,,
Americas,Caribbean,Bahamas,BHM,74,43,52,50,44,52,61,78,73,87,94,127,111,119,123,146,111
Americas,Caribbean,Barbados,BRB,20,25,25,33,22,29,35,25,23,19,31,27,22,24,25,31,
Americas,Caribbean,UK  Virgin Islands,VGB,,1,1,2,4,,2,,,,,,,,,,
Americas,Caribbean,Cayman Islands,CYM,4,2, -   ,3,5,3,1,2,4,8,9,,,5,5,,
Americas,Caribbean,Cuba,CUB,587,605,661,642,660,684,576,568,515,565,505,534,621,674,600,619,572
Americas,Caribbean,Curaçao,CUW,,10,39,43,41,26,18,26,,,,,,,,,
Americas,Caribbean,Dominica,DMA,2,1,9,8,8,8,5,7,7,13,15,6,,,,,
Americas,Caribbean,Dominican Republic,DOM,"1,210","1,095","1,279","1,902","2,239","2,394","2,144","2,111","2,394","2,375","2,474","2,513","2,268","1,978","1,810",,"1,616"
Americas,Caribbean,Grenada,GRD,15,6,14,9,6,11,12,11,16,7,10,4,14,6,8,6,11
Americas,Caribbean,Guadeloupe,,,,,,26,23,24,29,32,36,,,,,,,
Americas,Caribbean,Haiti,HTI,,,,,,,,486,498,598,677,914,"1,033",,,,
Americas,Caribbean,Jamaica,JAM,887,"1,139","1,045",975,"1,471","1,674","1,340","1,584","1,619","1,683","1,447","1,133","1,099","1,201","1,005","1,208","1,354"
Americas,Caribbean,Martinique,,,,,,19,19,23,23,17,11,,,,,,,
Americas,Caribbean,Montserrat,, -   , -   , -   , -   , -   ,1,1,,1,,,,1,,,,
Americas,Caribbean,Puerto Rico,PRI,695,747,781,787,797,771,748,730,815,901,"1,017","1,164","1,004",902,700,619,679
Americas,Caribbean,Saint Kitts and Nevis,KNA,3,6,5,10,11,8,17,16,23,27,21,34,18,,,,
Americas,Caribbean,Saint Lucia,LCA,23,34,42,36,37,41,43,29,39,39,44,46,39,33,34,,
Americas,Caribbean,Saint Vincent and the Grenadines,VCT,20,12,20,18,29,26,20,40,16,23,25,21,28,,,,40
Americas,Caribbean,Trinidad and Tobago,TTO,120,151,171,229,260,386,371,391,547,507,473,352,380,408,405,420,
Americas,Caribbean,Turks and Caicos Islands,, -   , -   ,2, -   ,, -   ,,2,2,2,,,,4,2,,
Americas,Caribbean,US Virgin Islands,VGB,23,28,41,31,37,37,43,43,46,50,56,45,52,,,,
Americas,Central America,Belize,BLZ,41,64,87,67,79,81,92,97,103,97,129,124,145,99,123,119,138
Americas,Central America,Costa Rica,CRI,249,257,258,300,280,335,351,369,512,525,527,474,407,411,477,557,578
Americas,Central America,El Salvador,SLV,"3,551","3,590","2,835","3,356","3,897","3,882","3,927","3,497","3,179","4,382","3,987","4,371","2,594","2,513","3,921","6,656","5,257"
Americas,Central America,Guatemala,GTM,"2,904","3,230","3,631","4,237","4,507","5,338","5,885","5,781","6,292","6,498","5,960","5,681","5,155","5,253","4,998","4,778","4,520"
Americas,Central America,Honduras,HND,"3,176","3,488","3,623","4,073","3,639","3,212","3,118","3,588","4,455","5,280","6,236","7,104","7,172","6,431","5,891","5,148","5,150"
Americas,Central America,Mexico,MEX,"10,737","10,285","10,088","10,087","9,329","9,921","10,452","8,867","14,006","19,803","25,757","27,213","25,967","23,063","20,010","20,762","24,559"
Americas,Central America,Nicaragua,NIC,476,537,554,635,646,729,722,714,736,802,785,738,673,594,525,524,453
Americas,Central America,Panama,PAN,299,306,376,337,308,364,221,279,493,562,460,549,637,663,568,447,390
Americas,Northern America,Bermuda,BMU, -   ,3,1,2,1,2,3,3,5,6,7,8,6,5,4,4,8
Americas,Northern America,Canada,CAN,546,554,582,549,625,664,608,597,614,610,556,606,548,509,521,604,611
Americas,Northern America,Greenland,GRL,13,17,12,5,11,10,8,8,8,10,11,1,8,7,4,4,3
Americas,Northern America,Saint Pierre and Miquelon,SPM,,,,,,, -   , -   ,1,1,,,,,,,
Americas,Northern America,USA,USA,"15,586","19,033","16,229","16,528","16,148","16,740","17,309","17,128","16,485","15,399","14,722","14,661","14,856","14,319","14,164","15,883","17,250"
Americas,South America,Argentina,ARG,,,,,,,,,,,"3,227",,,,"3,227","2,837","2,605"
Americas,South America,Bolivia,BOL,,,,,,478,482,770,828,819,"1,273","1,236","1,221",932,942,671,686
Americas,South America,Brazil,BRA,"41,595","43,975","45,585","46,828","44,379","43,645","45,086","44,625","45,885","44,518","43,272","48,084","53,054","54,163","57,091","58,459","61,283"
Americas,South America,Chile,CHL,,,,513,,576,590,616,588,630,541,636,434,556,638,534,620
Americas,South America,Colombia,COL,"26,539","27,840","28,387","23,523","20,210","18,111","17,479","17,198","16,140","15,817","15,459","16,127","16,440","15,419","13,343","12,782","12,402"
Americas,South America,Ecuador,ECU,"1,833","1,658","1,906","1,937","2,390","2,121","2,385","2,273","2,607","2,625","2,623","2,344","1,923","1,725","1,311","1,055",959
Americas,South America,French Guiana,,,,,,58,45,42,28,32,30,,,,,,,
Americas,South America,Guyana,GUY,76,80,143,209,131,142,153,115,158,117,140,130,139,155,149,149,142
Americas,South America,Paraguay,PRY,995,"1,314","1,372","1,285","1,209",887,742,783,833,821,741,657,649,604,578,617,
Americas,South America,Peru,PER,,,,,,,,,,,"1,617","1,617","1,968","2,013","2,076","2,247","2,435"
Americas,South America,Suriname,SUR,68,79,57,60,46,69,62,45,43,,,,,,,,
Americas,South America,Uruguay,URY,214,218,231,197,200,190,202,194,221,226,205,199,267,260,268,293,265
Americas,South America,Venezuela,VEN,"8,022","7,960","9,617","11,342","9,719","9,964","12,257","13,156","14,589","13,985","13,080","14,098","16,072",,"19,030",,"17,778"
Asia,Central Asia,Kazakhstan,KAZ,"2,325","2,160","1,967","1,991","2,091",,,,"1,807","1,771","1,387","1,420","1,266","1,120",904,853,
Asia,Central Asia,Kyrgyzstan,KGZ,430,386,411,421,420,419,422,426,429,419,"1,072",494,301,206,216,304,267
Asia,Central Asia,Tajikistan,TJK,283,233,180,164,142,157,194,132,100,97,181,126,,,,,
Asia,Central Asia,Turkmenistan,TKM,267,248,241,233,209,206,203,,,,,,,,,,
Asia,Central Asia,Uzbekistan,UZB,"1,068","1,081","1,058",963,962,910,861,815,831,,,,,,,,
Asia,Eastern Asia,China,CHN,"26,858","25,939","26,276","24,393","24,711","20,770","17,973","16,119","14,811","14,667","13,410","12,015","11,286","10,640","10,083","9,200","8,634"
Asia,Eastern Asia,North Korea,PRK,"1,521",,,,,"1,206",,,,,"1,179",,,,,"1,110",
Asia,Eastern Asia,Japan,JPN,678,697,662,697,699,643,619,574,654,506,465,442,429,370,395,363,362
Asia,Eastern Asia,Mongolia,MNG,,,,343,333,398,336,293,212,219,239,266,199,205,213,184,171
Asia,Eastern Asia,Republic of Korea,KOR,,,,,,,,,,,,427,411,342,372,365,356
Asia,South-Eastern Asia,Brunei Darussalam,BRN,4,,,3,2,2,3,3,1,3,1,1,4,2,,,
Asia,South-Eastern Asia,Cambodia,KHM,571,407,425,509,511,448,400,393,333,331,331,268,,,,,
Asia,South-Eastern Asia,Indonesia,IDN,"2,204",,,"1,635","1,419",,,,"1,372","1,311","1,058","1,467","1,456","1,386","1,277","1,491","1,292"
Asia,South-Eastern Asia,Laos,LAO,572,,,,,553,,,,,502,,,,,467,
Asia,South-Eastern Asia,Malaysia,MYS,551,517,565,565,497,604,588,652,597,561,540,530,602,627,,,
Asia,South-Eastern Asia,Myanmar,,"1,041",916,814,764,743,676,777,749,791,879,801,"1,055","1,436","1,238","1,230","1,152","1,198"
Asia,South-Eastern Asia,Philippines,PHL,"5,735","5,852","6,553","6,436","6,344","6,434","6,200","5,962","5,820","9,088","8,897","8,674","8,484","9,153","9,756","9,643","11,385"
Asia,South-Eastern Asia,Singapore,SGP,37,30,22,24,21,21,17,18,27,20,19,16,11,17,14,14,18
Asia,South-Eastern Asia,Thailand,THA,"5,142","5,020","4,538","6,434","4,273","4,806","4,687","4,435","3,974","3,703","3,654","3,307","3,323","2,894","2,649","2,387","2,229"
Asia,South-Eastern Asia,Timor-Leste,TLS,,,,,23,46,49,62,35,32,39,,,,,49,
Asia,South-Eastern Asia,Viet Nam,VNM,,"1,004","1,067","1,059","1,063","1,053","1,048","1,168","1,092","1,233","1,336","1,358",,,,,
Asia,Southern Asia,Afghanistan,AFG,,,,,,,,,,"1,115",983,"1,231","1,948",,,,
Asia,Southern Asia,Bangladesh,BGD,"3,343","3,678","3,503","3,471","3,902","3,592","4,166","3,863","4,099","4,219","3,988","3,966","4,114","4,393","4,514","4,035",
Asia,Southern Asia,Bhutan,BTN,18,19,19,5,15,11,9,14,18,16,16,32,33,24,,12,9
Asia,Southern Asia,India,IND,"51,344","49,403","48,711","44,331","46,490","45,095","45,099","45,362","45,999","45,824","46,460","47,640","47,478","45,878","47,356","44,385","42,678"
Asia,Southern Asia,Iran,IRN,,,,"1,803","2,015",,,,,"2,215",,,,"2,037","1,936",,
Asia,Southern Asia,Maldives,MDV,,7,8,4,,,,3,5,6,6,3,10,3,,,
Asia,Southern Asia,Nepal,NPL,635,848,858,757,936,878,610,841,892,806,813,679,642,606,558,,627
Asia,Southern Asia,Pakistan,PAK,"8,906","9,593","9,466","9,346","9,614","9,782","10,048","10,556","12,059","12,491","13,190","13,860","13,846","13,937","13,276","9,486","8,516"
Asia,Southern Asia,Sri Lanka,LKA,,,,"1,310","1,377","1,219","2,044",,"2,002","1,099",763,732,676,619,553,487,530
Asia,Western Asia,Armenia,ARM,91,88,69,76,83,58,79,77,97,97,56,71,65,63,72,75,87
Asia,Western Asia,Azerbaijan,AZE,226,218,212,183,201,192,190,189,192,,206,,202,221,236,,208
Asia,Western Asia,Bahrain,BHR,,9,8,3,7,4,7,4,6,13,11,7,4,5,7,,
Asia,Western Asia,Cyprus,CYP,8,7,2,14,16,20,15,13,9,19,8,9,22,12,11,15,13
Asia,Western Asia,Georgia,GEO,239,263,292,302,298,403,323,330,263,210,187,,,,108,,39
Asia,Western Asia,Iraq,IRQ,,,,,,,,,"4,596","2,554","2,691","2,634","2,697","3,339",,,
Asia,Western Asia,Israel,ISR,147,223,227,195,173,166,182,125,136,128,145,151,134,,118,110,
Asia,Western Asia,Jordan,JOR,,,,,,67,100,112,120,102,116,141,161,144,176,159,145
Asia,Western Asia,Kuwait,KWT,,39,23,29,43,41,45,59,38,49,60,59,61,,,,
Asia,Western Asia,Lebanon,LBN,,,,,,,,,183,145,163,168,194,236,240,231,235
Asia,Western Asia,Oman,OMN,,,28,35,42,53,121,37,47,37,48,34,39,97,26,,
Asia,Western Asia,Qatar,QAT,1,5,,,5,6,5,9,12,8,4,4,7,9,9,,
Asia,Western Asia,Saudi Arabia,SAU,173,229,285,250,301,297,255,265,,,265,,,,,472,
Asia,Western Asia,Palestine,,,,,94,96,86,,,48,44,32,24,26,24,35,45,33
Asia,Western Asia,Syria,SYR,357,376,368,405,426,430,446,533,529,476,463,,,,,,
Asia,Western Asia,Turkey,TUR,,,,"2,837","2,914","3,305","3,168","3,599","3,257","3,692","3,064","3,061","3,216",,,,
Asia,Western Asia,United Arab Emirates,ARE,,,,45,27,56,39,,,,67,51,69,57,61,60,83
Asia,Western Asia,Yemen,YEM,697,,,704,646,945,895,850,874,990,"1,099","1,375","1,616","1,703",,,
Europe,Eastern Europe,Belarus,BLR,"1,013",969,989,879,815,825,734,649,541,487,401,373,340,333,340,,
Europe,Eastern Europe,Bulgaria,BGR,332,308,255,247,244,199,186,177,172,150,148,128,141,109,116,129,81
Europe,Eastern Europe,Czechia,CZE,181,142,149,163,134,108,130,126,114,94,103,86,105,90,81,88,65
Europe,Eastern Europe,Hungary,HUN,205,254,203,228,209,164,174,154,181,139,138,145,124,154,146,221,202
Europe,Eastern Europe,Poland,POL,855,776,716,662,633,555,490,525,460,493,436,449,377,296,282,287,256
Europe,Eastern Europe,Moldova,MDA,433,411,401,319,277,296,262,217,236,246,267,304,229,169,130,,
Europe,Eastern Europe,Romania,ROU,581,597,563,551,516,453,438,416,470,397,404,335,378,336,298,291,247
Europe,Eastern Europe,Russia,RUS,"41,090","42,921","44,252","41,764","39,256","35,636","28,844","25,377","23,738","21,371","21,371",,,"15,763","16,260","16,519","15,561"
Europe,Eastern Europe,Slovakia,SVK,129,118,121,137,108,93,82,82,86,78,82,88,63,71,69,44,57
Europe,Eastern Europe,Ukraine,UKR,"4,418","4,854","4,296","4,041","3,487","3,030","2,958","2,646","2,466","2,240","1,988",,"2,336",,"2,845",,
Europe,Northern Europe,Channel Islands,,,,,,,1,2,,1,, -   ,,,,,,
Europe,Northern Europe,Denmark,DNK,58,52,56,65,43,53,29,39,54,47,42,46,47,48,73,56,56
Europe,Northern Europe,Estonia,EST,143,137,142,147,91,113,91,96,86,70,70,65,63,52,41,42,
Europe,Northern Europe,Finland,FIN,148,156,132,103,148,119,119,129,133,120,119,110,88,89,88,82,78
Europe,Northern Europe,Iceland,ISL,5,1,4, -   ,3,3, -   ,2, -   ,1,2,3,1,1,2,3,1
Europe,Northern Europe,Ireland,IRL,37,52,52,37,30,52,62,78,50,56,53,42,53,52,52,29,38
Europe,Northern Europe,Isle of Man,IMN,,,,,,,,,,,,1,2,2,3,1, -   
Europe,Northern Europe,Latvia,LVA,238,219,214,202,181,126,128,94,99,108,70,69,70,50,64,67,
Europe,Northern Europe,Lithuania,LTU,370,353,293,344,343,372,288,277,298,252,219,211,202,198,159,172,153
Europe,Northern Europe,Norway,NOR,48,37,46,51,36,33,33,30,34,29,29,111,27,46,29,24,27
Europe,Northern Europe,Sweden,SWE,96,87,101,85,107,83,91,111,82,93,91,81,68,87,87,112,106
Europe,Northern Europe,UK,GBR,915,966,"1,107",926,950,834,860,873,762,706,756,641,627,603,590,649,791
Europe,Southern Europe,Albania,ALB,131,220,216,166,131,154,95,105,93,85,127,142,157,124,117,66,79
Europe,Southern Europe,Andorra,AND,,,,,1,,, -   ,1, -   , -   ,1, -   , -   , -   , -   ,
Europe,Southern Europe,Bosnia and Herzegovina,BIH,99,82,90,,68,70,73,66,66,71,56,51,63,46,50,57,45
Europe,Southern Europe,Croatia,HRV,101,81,73,69,83,68,74,62,71,49,62,49,51,46,36,37,44
Europe,Southern Europe,Gibraltar,GIB,,,,,,,,,, -   ,1,,,,,,
Europe,Southern Europe,Greece,GRC,,132,94,122,111,132,110,130,144,152,176,184,166,153,107,93,84
Europe,Southern Europe,Holy See,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   ,
Europe,Southern Europe,Italy,ITA,766,709,644,719,714,610,625,631,615,590,529,552,530,502,475,469,400
Europe,Southern Europe,Kosovo,KSV,,,,,,,,,113,73,106,62,90,41,41,30,29
Europe,Southern Europe,Malta,MLT,4,6,6, -   ,7,4, -   ,4,6,4,4,3,12,7,6,4,
Europe,Southern Europe,Montenegro,MNE,,,27,20,14,22,25,12,24,21,15,21,17,10,20,17,28
Europe,Southern Europe,Portugal,PRT,116,105,119,149,144,135,155,185,124,130,124,114,122,144,92,100,66
Europe,Southern Europe,San Marino,SMR, -   , -   ,1, -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Europe,Southern Europe,Serbia,SRB,228,243,200,176,164,147,156,171,140,154,130,135,111,142,120,104,123
Europe,Southern Europe,Slovenia,SVN,36,28,36,21,27,20,12,24,10,13,15,16,14,12,17,20,10
Europe,Southern Europe,Spain,ESP,553,577,564,587,520,518,476,482,407,412,401,385,364,302,323,302,294
Europe,Southern Europe,Macedonia,MKD,47,55,60,70,49,44,46,42,35,35,43,30,29,22,33,,
Europe,Western Europe,Austria,AUT,82,70,65,50,59,54,61,45,58,51,58,75,79,62,45,46,57
Europe,Western Europe,Belgium,BEL,212,282,319,230,268,221,221,211,203,189,189,214,205,205,208,220,
Europe,Western Europe,France,FRA,"1,051","1,047","1,119",987,990,976,879,993,"1,021",819,796,856,784,777,792,"1,017",875
Europe,Western Europe,Germany,DEU,"1,015",925,955,859,868,869,808,757,722,803,793,738,659,682,716,682,963
Europe,Western Europe,Liechtenstein,LIE, -   , -   , -   , -   ,1, -   , -   , -   ,1, -   ,1, -   , -   , -   ,1, -   , -   
Europe,Western Europe,Luxembourg,LUX,4,9,6,3,2,4,7,7,8,5,10,4, -   ,1,4,,
Europe,Western Europe,Monaco,MCO,,1,,,1,1,1, -   , -   , -   , -   , -   , -   , -   ,, -   ,
Europe,Western Europe,Netherlands,NLD,180,202,195,202,191,174,128,143,150,154,144,143,145,125,123,104,94
Europe,Western Europe,Switzerland,CHE,69,86,86,73,78,75,60,51,54,51,52,46,45,57,41,57,45
Oceania,Australia and New Zealand,Australia,AUS,362,347,366,341,302,259,281,255,261,263,231,248,243,245,243,236,227
Oceania,Australia and New Zealand,New Zealand,NZL,52,51,60,44,45,61,49,48,51,67,43,39,41,46,45,,
Oceania,Melanesia,Fiji,FJI,,,,25,23,23,22,21,17,29,20,20,20,19,20,,
Oceania,Melanesia,New Caledonia,NCL,,,,,,,8,12,11,8,,,,,,,
Oceania,Melanesia,Papua New Guinea,PNG,465,,,,,,610,520,,,,,,,,,
Oceania,Melanesia,Solomon Islands,SLB,,,,,20,26,23,26,19,,,,,,,,
Oceania,Melanesia,Vanuatu,VUT,5,,,,,5,,,,,5,,,,,6,
Oceania,Micronesia,Guam,GUM,2,8,2,8,9,7,11,1,1,5,3,4,,,,,
Oceania,Micronesia,Kiribati,KIR,3,4,,,,,,,7,1,4,11,8,,,,
Oceania,Micronesia,Micronesia,FSM,4,,,,,5,,,,,5,,,,,5,
Oceania,Micronesia,Nauru,,,,,,,,,,,,,, -   ,,,,
Oceania,Micronesia,Palau,PLW,,,,,,,,,,,,,1,,,,
Oceania,Polynesia,American Samoa,ASM,,1,7,3,4,6,4,1,3,2,5,5,2,3,3,4,3
Oceania,Polynesia,Cook Islands,COK,,,,,,,,,,,,,1,,,,
Oceania,Polynesia,French Polynesia,PYF,,,,,,,3,7,9,1,,,,,,,
Oceania,Polynesia,Niue,NIU,,,,,,,,,,,,, -   ,,,,
Oceania,Polynesia,Samoa,WSM,,,,,,,,,,16,16,,,6,,,
Oceania,Polynesia,Tonga,TON,1,6,6,6,2,4,8,1,4,8,1,2,1,,,,
Oceania,Polynesia,Tuvalu,TUV,,, -   , -   , -   , -   , -   , -   , -   , -   ,1,1,2,,,,
